'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'406_at'	'ARNTL'	-4	-5	-5	-6	-5	-4	1.58113883008419E-05
'8864_at'	'PER2'	8	9	6	8	7	12	4.72870804501588E-05
'8863_at'	'PER3'	5	6	3	6	6	5	4.92325088605909E-05
'9572_at'	'NR1D1'	1	2	0	4	3	2	0.000084507
'1628_at'	'DBP'	5	5	2	6	6	5	9.97490569933681E-05
'6421_at'	'SFPQ'	12	15	12	14	14	15	0.0013997966
'80760_at'	'ITIH5'	13	12	15	13	10	14	0.0017917085
'3949_at'	'LDLR'	1	2	1	0	0	-1	0.0018921378
'5187_at'	'PER1'	1	3	3	3	1	2	0.0024310182
'3638_at'	'INSIG1'	3	2	1	-2	1	6	0.0028909208
'23516_at'	'SLC39A14'	1	0	3	3	3	2	0.0034224193
'4783_at'	'NFIL3'	-4	-5	-6	-4	-4	-2	0.0049798385
'6645_at'	'SNTB2'	1	5	-6	8	2	2	0.0051634251
'23024_at'	'PDZRN3'	2	3	1	9	5	-6	0.0056159111
'8553_at'	'BHLHE40'	2	7	2	5	4	2	0.0057560505
'79365_at'	'BHLHE41'	5	4	3	5	3	4	0.0064384221
'3131_at'	'HLF'	6	7	6	10	6	6	0.0067685965
'2119_at'	'ETV5'	14	12	10	11	16	15	0.0072576803
'79155_at'	'TNIP2'	3	2	-2	0	2	0	0.0076113489
'23344_at'	'ESYT1'	2	6	4	3	3	3	0.0085014677
'84124_at'	'ZNF394'	1	6	5	3	3	-2	0.0089905151
'54103_at'	'PION'	10	10	11	11	11	10	0.0104958919
'2830_at'	'GPR6'	2	2	6	-5	3	-3	0.0115431766
'1678_at'	'TIMM8A'	-3	-3	10	-4	11	8	0.0116796265
'221395_at'	'GPR116'	15	12	12	8	9	13	0.0117478668
'23769_at'	'FLRT1'	13	17	10	10	15	11	0.0121961889
'55790_at'	'CSGALNACT1'	-6	16	10	13	14	16	0.012218441
'55255_at'	'WDR41'	9	11	4	7	10	10	0.0122319027
'81575_at'	'APOLD1'	1	3	1	2	0	1	0.0126003069
'388_at'	'RHOB'	-1	-3	-5	-1	-2	-1	0.0126022494
'6322_at'	'SCML1'	1	0	-1	0	3	0	0.013102184
'81848_at'	'SPRY4'	14	12	8	11	14	17	0.0136153161
'4548_at'	'MTR'	6	10	10	4	9	9	0.0138009821
'5359_at'	'PLSCR1'	0	-2	-1	1	1	0	0.0139539355
'55763_at'	'EXOC1'	12	16	16	-5	17	12	0.014223534
'8462_at'	'KLF11'	0	-2	-6	4	0	-1	0.0143735426
'28231_at'	'SLCO4A1'	-1	1	-2	1	1	0	0.0144140882
'8835_at'	'SOCS2'	-1	1	6	-4	1	3	0.0144636013
'10974_at'	'C10orf116'	9	10	9	8	12	15	0.014639665
'57335_at'	'ZNF286A'	-5	5	10	15	11	7	0.0147235474
'2620_at'	'GAS2'	-1	-1	-3	-2	7	-2	0.0147510678
'23025_at'	'UNC13A'	10	11	15	10	13	11	0.0152036128
'495_at'	'ATP4A'	-5	4	6	10	-2	6	0.01550078
'5983_at'	'RFC3'	2	1	12	16	8	8	0.0157133089
'55856_at'	'ACOT13'	-5	16	10	-4	15	-3	0.015771106
'29923_at'	'C7orf68'	1	4	1	1	1	3	0.0158666836
'23336_at'	'SYNM'	4	4	8	3	5	6	0.015871678
'3062_at'	'HCRTR2'	9	2	10	8	11	12	0.0161181116
'9183_at'	'ZW10'	15	1	2	10	-2	15	0.0167131798
'4862_at'	'NPAS2'	-5	-6	-5	10	-3	17	0.0170822069
'54915_at'	'YTHDF1'	3	2	5	4	2	3	0.0171767366
'6570_at'	'SLC18A1'	13	2	2	11	7	4	0.0175505816
'860_at'	'RUNX2'	17	6	9	-6	-6	12	0.0177616564
'5190_at'	'PEX6'	2	1	3	5	3	4	0.0178925713
'2155_at'	'F7'	11	11	-4	-6	9	16	0.0179094483
'5105_at'	'PCK1'	6	6	-5	8	7	1	0.0179885393
'8771_at'	'TNFRSF6B'	2	-1	-2	3	2	1	0.0182581532
'55208_at'	'DCUN1D2'	6	4	1	3	6	10	0.0182586619
'8289_at'	'ARID1A'	-4	-2	-1	8	-2	-1	0.0183367454
'23705_at'	'CADM1'	-5	16	-3	16	16	16	0.0184634704
'10199_at'	'MPHOSPH10'	6	9	2	3	10	13	0.0184700091
'51668_at'	'HSPB11'	-6	14	-2	12	10	-6	0.0187389949
'6890_at'	'TAP1'	2	-3	-3	4	-2	-1	0.0190962614
'10613_at'	'ERLIN1'	0	1	-1	15	-2	7	0.0191514068
'602_at'	'BCL3'	-1	4	-4	0	0	-1	0.0191864209
'10994_at'	'ILVBL'	3	0	-1	0	3	1	0.0194838599
'10058_at'	'ABCB6'	5	4	6	-2	4	0	0.0196026355
'64762_at'	'FAM59A'	10	15	-4	14	-6	17	0.0196629547
'51129_at'	'ANGPTL4'	0	0	-1	1	0	0	0.0196830887
'2719_at'	'GPC3'	-4	11	8	12	-2	8	0.0201713428
'4295_at'	'MLN'	-1	5	0	9	-2	11	0.0203101448
'56267_at'	'CCBL2'	12	10	10	11	12	10	0.0204789739
'5010_at'	'CLDN11'	-1	-3	-3	-1	-3	-6	0.021020299
'7014_at'	'TERF2'	-1	5	6	2	-4	6	0.0213019428
'23764_at'	'MAFF'	0	2	-1	0	0	0	0.0217509563
'133_at'	'ADM'	2	4	0	1	1	1	0.0217693356
'79770_at'	'TXNDC15'	-2	-5	-3	-4	9	-2	0.0219661527
'2810_at'	'SFN'	3	3	4	4	0	7	0.0219684237
'3669_at'	'ISG20'	2	-2	-6	1	1	-3	0.0220908433
'10966_at'	'RAB40B'	7	7	16	10	4	10	0.0227877323
