"name"	"hsa.ggo"	"hsa.ppy"	"hsa.ptr"	"hsa.mml"	"hsa.bta"	"hsa.cfa"	"hsa.mmu"	"hsa.rno"
"hsa-let-7c-3p"	0	0	0	1	0	0	0	0
"hsa-mir-101-3p"	0	0	0	1	0	0	0	0
"hsa-mir-105-3p"	0	0	0	1	0	0	0	0
"hsa-mir-105-5p"	0	0	0	1	0	0	0	0
"hsa-mir-1180-3p"	0	0	0	1	0	0	0	0
"hsa-mir-1180-5p"	0	0	0	1	0	0	0	0
"hsa-mir-1181"	0	0.904761974599831	1	0	0	0	0	0
"hsa-mir-1182"	0	0	1	0	0	0	0	0
"hsa-mir-1183"	0	1	1	0	0	0	0	0
"hsa-mir-1184"	0	0	1	0	0	0	0	0
"hsa-mir-1185-5p"	0	0	0	1	0	0	0	0
"hsa-mir-1200"	0	1	0	0	0	0	0	0
"hsa-mir-1202"	0	1	1	0	0	0	0	0
"hsa-mir-1203"	0	0	1	0	0	0	0	0
"hsa-mir-1204"	0	1	1	0	0	0	0	0
"hsa-mir-1205"	0	1	1	0	0	0	0	0
"hsa-mir-1206"	0	0	1	0	0	0	0	0
"hsa-mir-1207-3p"	0	1	0	0	0	0	0	0
"hsa-mir-1207-5p"	0	0.810628846321128	0	0	0	0	0	0
"hsa-mir-1208"	0	1	1	0	0	0	0	0
"hsa-mir-1225-5p"	0	1	0	0.954545486362115	0	0	0	0
"hsa-mir-1244"	0	1	1	0	0	0	0	0
"hsa-mir-1253"	0	0.810628846321128	1	0	0	0	0	0
"hsa-mir-1254"	0	0.875000080204503	1	0	0	0	0	0
"hsa-mir-1255a"	0.956521768240575	0.739130609443448	0	0	0	0	0	0
"hsa-mir-1257"	0	1	0	0	0	0	0	0
"hsa-mir-1258"	0	0	1	0	0	0	0	0
"hsa-mir-1260a"	0	1	0	0	0	0	0	0
"hsa-mir-1261"	0	0.947368463709867	0	0	0	0	0	0
"hsa-mir-1262"	0	1	1	0	0	0	0	0
"hsa-mir-1263"	0	1	1	0	0	0	0	0
"hsa-mir-1264"	0.91304353648115	1	1	0	0	0	0	0
"hsa-mir-1265"	0	0.909090972724228	1	0	0	0	0	0
"hsa-mir-1267"	0	0.573638496617616	1	0	0	0	0	0
"hsa-mir-1270"	0	0.565217515022442	0	0	0	0	0	0
"hsa-mir-1271-3p"	0	0	0	0.773782106370762	0	0	0	0
"hsa-mir-1271-5p"	0	0	0	1	0	0	0	0
"hsa-mir-1272"	0	0	1	0	0	0	0	0
"hsa-mir-1273a"	0	0.561856382914423	0	0	0	0	0	0
"hsa-mir-1273c"	0.909090972724228	0	0	0	0	0	0	0
"hsa-mir-1273e"	0	0.227272765055011	0	0	0	0	0	0
"hsa-mir-1275"	0	1	1	0	0	0	0	0
"hsa-mir-1276"	0	0	1	0	0	0	0	0
"hsa-mir-1278"	0.954545486362115	0	0.909090972724228	0	0	0	0	0
"hsa-mir-1283"	0.411200321844608	0	0	0.72832754898497	0	0	0	0
"hsa-mir-1286"	1	1	1	0	0	0	0	0
"hsa-mir-1289"	0.783617660378102	1	1	0	0	0	0	0
"hsa-mir-1290"	0	0.842105340474132	1	0	0	0	0	0
"hsa-mir-1293"	0	0.728327592732877	1	0	0	0	0	0
"hsa-mir-1294"	0	0	1	0	0	0	0	0
"hsa-mir-1296-3p"	0	0	0	1	0	0	0	0
"hsa-mir-1296-5p"	0	0	0	1	0	0	0	0
"hsa-mir-1299"	0	0.363636437212391	0.954545486362115	0	0	0	0	0
"hsa-mir-1302"	0	1	1	0	0	0	0	0
"hsa-mir-1303"	0	0.547563994001986	1	0	0	0	0	0
"hsa-mir-1305"	0	0.819236620008646	0	0	0	0	0	0
"hsa-mir-1322"	0	0.73806336857029	0	0	0	0	0	0
"hsa-mir-1323"	0	1	1	0	0	0	0	0
"hsa-mir-1324"	0	0.375000080204502	1	0	0	0	0	0
"hsa-mir-1469"	0	1	0	0	0	0	0	0
"hsa-mir-1471"	0	1	0	0	0	0	0	0
"hsa-mir-147a"	0	1	1	1	0	0	0	0
"hsa-mir-147b"	0	1	1	0.773782106370762	0	0	0	0
"hsa-mir-151a-3p"	0	1	0	0	0	0	0	0
"hsa-mir-151a-5p"	0	1	0	0	0	0	0	0
"hsa-mir-151b"	0	0.833333368979772	0	0	0	0	0	0
"hsa-mir-1538"	0	0.652173963672949	0	0	0	0	0	0
"hsa-mir-181a-3p"	1	1	1	1	0	0	0	0
"hsa-mir-1825"	0	0	1	0	0	0	0	0
"hsa-mir-1827"	0	1	0.779066907436966	0	0	0	0	0
"hsa-mir-1911-3p"	0	0	0	0.900000076996313	0	0	0	0
"hsa-mir-1911-5p"	0	0	0	0.956521768240575	0	0	0	0
"hsa-mir-1912"	0	1	0	0	0	0	0	0
"hsa-mir-1913"	0	0.954545486362115	0	0	0	0	0	0
"hsa-mir-197-3p"	0	0	0	1	0	0	0	0
"hsa-mir-197-5p"	0	0	0	0.956521768240575	0	0	0	0
"hsa-mir-1976"	0	1.20165562690178	0	0	0	0	0	0
"hsa-mir-198"	0.863636459086343	0.863636459086343	0.863636459086343	0.682872991599175	0	0	0	0
"hsa-mir-2110"	0.819236620008646	0	0	0	0	0	0	0
"hsa-mir-2278"	0	0.591963876827589	0	0	0	0	0	0
"hsa-mir-23c"	1	0	1	0	0	0	0	0
"hsa-mir-298"	0	0.83430022534257	1	0.668600410582887	0	0	0	0
"hsa-mir-299-3p"	0	0.819236620008646	0	0.819236620008646	0	0	0	0
"hsa-mir-299-5p"	0	1	0	1	0	0	0	0
"hsa-mir-302e"	0	0.766070741711035	1	0	0	0	0	0
"hsa-mir-302f"	0	0	1	0	0	0	0	0
"hsa-mir-3122"	0	0	0	0.773782106370762	0	0	0	0
"hsa-mir-3132"	0	0	0.875000080204503	0	0	0	0	0
"hsa-mir-3138"	0.791666800340837	0	0.791666800340837	0	0	0	0	0
"hsa-mir-3149"	0	0	0.956521785157227	0	0	0	0	0
"hsa-mir-3155a"	0	0.904761974599831	0	0	0	0	0	0
"hsa-mir-3165"	0	0	1	0	0	0	0	0
"hsa-mir-3170"	0	0.954545486362115	0	0	0	0	0	0
"hsa-mir-3174"	0	0.956521768240575	0	0	0	0	0	0
"hsa-mir-3188"	0	0.695652335838195	0	0	0	0	0	0
"hsa-mir-3193"	0	0	0.954545486362115	0	0	0	0	0
"hsa-mir-3200-3p"	0	0	0	1	0	0	0	0
"hsa-mir-3200-5p"	0	0	0	1	0	0	0	0
"hsa-mir-320c"	0	1	1	0.801160247804932	0	0	0	0
